Subject,Chapter_Name,Difficulty
Mathematics ,Construction of Quadallrilaterals,Medium
Mathematics ,Time and Work,Medium
Mathematics ,Linear Equations ,Hard
Mathematics ,Profit and Loss,Hard
Mathematics ,Percentage ,Medium
Mathematics ,Compound Interest ,Hard
Mathematics ,Introduction to Coordinate geometry ,Hard
Mathematics ,Pie Charts,Easy
Mathematics ,Area of trapezium and polygons,Medium
Mathematics ,Volume and Surface Area,Hard
Mathematics ,Direct and Inverse Propotion,Easy
Mathematics ,Probability,Easy
Science,Conservation of plants and Animals ,Easy
Science,Metals and Non Metals,Hard
Science,Chemical Effects of Electric Current ,Hard
Science,Age of Adolescence ,Medium
Science,Reproduction ,Medium
Science,Cell Structure,Medium
Science,Sound,Hard
Science,Light,Hard
Science,Pressure,Medium
Social Science ,Role of Parliament ,Easy
Social Science ,Law and Social Justice ,Easy
Social Science ,Water,Easy
Social Science ,Land,Medium
Social Science ,Agriculture,Medium
Social Science ,Human Resource,Medium
Social Science ,Traders to Rulers,Hard
Social Science ,National Movement,Hard
Social Science ,The Great Rebillion,Medium
Social Science ,Public Facilities,Easy
Social Science ,Judicial System,Medium
Sanskrit ,Grammar : Unseen Passage ,Easy
Sanskrit ,Grammar : Conversation,Hard
Sanskrit ,Grammar:Story Writing,Hard
Sanskrit ,Grammar : Picture Composition,Medium
Sanskrit ,Grammar:Sandhi,Hard
Sanskrit ,Grammar:Suffix and Preffix,Medium
Sanskrit ,Grammar: Active and Passive Voice,Hard
Sanskrit ,Grammar:Letter Writing,Medium
Sanskrit ,Grammar:Seen Passage,Easy
Sanskrit ,Grammar:Poem Unseen ,Easy
Sanskrit ,Lesson Meanings,Medium
Sanskrit ,Shloka,Medium
Computer,AI Domains,Medium
Computer,Algorithmic Intelligence,Hard
Computer,Computer Networking,Hard
English ,Grammar:Phrases and Clauses,Hard
English ,Grammar:Noun Phrase and Clauses,Hard
English ,Grammar:Adjective Phrase and Clauses,Hard
English ,Grammar:Adverbial Phrase and Clauses,Hard
English ,Grammar:Relative Clauses,Hard
English ,Grammar:Prepositional Phrase and Clauses,Hard
English ,Grammar:Gerualds and Infinities ,Medium
English ,The Boy who Broke the Bank,Hard
English ,Patol Babu,Medium
English ,Failure,Medium
English ,The Visitor,Hard
English ,Helen Keller ,Easy
English ,My Greatest Olympic Price,Medium
English ,The Elephant and the Tragopan,Medium
English ,The little Square Box,Medium
